X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
589926.488,2871150.842,-9.914,9 (Water),,,,,42244,,2,2,515460.462489,86,-9.914,9 (Water),,,,,42244,,2,2,515460.462489,86
589927.001,2871154.303,-9.811,9 (Water),,,,,41578,,3,3,515460.462539,86,-9.811,9 (Water),,,,,41578,,3,3,515460.462539,86
589927.511,2871157.769,-9.839,9 (Water),,,,,41058,,2,2,515460.462589,86,-9.839,9 (Water),,,,,41058,,2,2,515460.462589,86
589927.983,2871161.239,-9.813,9 (Water),,,,,41054,,3,3,515460.462639,86,-9.813,9 (Water),,,,,41054,,3,3,515460.462639,86
589928.439,2871164.712,-9.846,9 (Water),,,,,42252,,3,3,515460.462688,86,-9.846,9 (Water),,,,,42252,,3,3,515460.462688,86
589928.845,2871168.188,-9.76,9 (Water),,,,,41295,,3,3,515460.462738,86,-9.76,9 (Water),,,,,41295,,3,3,515460.462738,86
589928.483,2871132.072,-9.786,9 (Water),,,,,42248,,2,2,515460.502255,86,-9.786,9 (Water),,,,,42248,,2,2,515460.502255,86
589929.147,2871135.511,-9.8,9 (Water),,,,,42501,,3,3,515460.502305,86,-9.8,9 (Water),,,,,42501,,3,3,515460.502305,86
589929.801,2871138.955,-9.906,9 (Water),,,,,42036,,3,3,515460.502355,86,-9.906,9 (Water),,,,,42036,,3,3,515460.502355,86
589930.408,2871142.404,-9.905,9 (Water),,,,,42028,,3,3,515460.502404,86,-9.905,9 (Water),,,,,42028,,3,3,515460.502404,86
589930.976,2871145.857,-9.845,9 (Water),,,,,41531,,3,3,515460.502454,86,-9.845,9 (Water),,,,,41531,,3,3,515460.502454,86
589931.528,2871149.315,-9.846,9 (Water),,,,,41257,,3,3,515460.502504,86,-9.846,9 (Water),,,,,41257,,3,3,515460.502504,86
589932.041,2871152.777,-9.785,9 (Water),,,,,41510,,3,3,515460.502554,86,-9.785,9 (Water),,,,,41510,,3,3,515460.502554,86
589929.834,2871113.452,-9.787,9 (Water),,,,,42670,,2,2,515460.542021,86,-9.787,9 (Water),,,,,42670,,2,2,515460.542021,86
589930.637,2871116.863,-9.858,9 (Water),,,,,41168,,2,2,515460.542070,86,-9.858,9 (Water),,,,,41168,,2,2,515460.542070,86
589931.390,2871120.281,-9.814,9 (Water),,,,,41687,,3,3,515460.542120,86,-9.814,9 (Water),,,,,41687,,3,3,515460.542120,86
589932.128,2871123.706,-9.828,9 (Water),,,,,40826,,3,3,515460.542170,86,-9.828,9 (Water),,,,,40826,,3,3,515460.542170,86
589932.812,2871127.136,-9.708,9 (Water),,,,,40202,,3,3,515460.542220,86,-9.708,9 (Water),,,,,40202,,3,3,515460.542220,86
589933.492,2871130.572,-9.704,9 (Water),,,,,42168,,2,2,515460.542269,86,-9.704,9 (Water),,,,,42168,,2,2,515460.542269,86
589932.375,2871101.682,-9.879,9 (Water),,,,,41708,,3,3,515460.581886,86,-9.879,9 (Water),,,,,41708,,3,3,515460.581886,86
589933.239,2871105.076,-9.892,9 (Water),,,,,41249,,3,3,515460.581936,86,-9.892,9 (Water),,,,,41249,,3,3,515460.581936,86
589934.055,2871108.478,-9.791,9 (Water),,,,,41755,,2,2,515460.581985,86,-9.791,9 (Water),,,,,41755,,2,2,515460.581985,86
589934.856,2871111.887,-9.754,9 (Water),,,,,41628,,3,3,515460.582035,86,-9.754,9 (Water),,,,,41628,,3,3,515460.582035,86
589927.377,2871169.846,-9.738,9 (Water),,,,,47561,,3,3,515473.361423,81,-9.738,9 (Water),,,,,47561,,3,3,515473.361423,81
589926.303,2871166.572,-9.659,9 (Water),,,,,46168,,3,3,515473.361473,81,-9.659,9 (Water),,,,,46168,,3,3,515473.361473,81
589930.650,2871165.807,-9.721,9 (Water),,,,,48688,,3,3,515473.401392,81,-9.721,9 (Water),,,,,48688,,3,3,515473.401392,81
589929.550,2871162.539,-9.808,9 (Water),,,,,46185,,3,3,515473.401441,81,-9.808,9 (Water),,,,,46185,,3,3,515473.401441,81
589928.478,2871159.261,-9.862,9 (Water),,,,,45758,,3,3,515473.401491,81,-9.862,9 (Water),,,,,45758,,3,3,515473.401491,81
589927.437,2871155.975,-9.825,9 (Water),,,,,44374,,3,3,515473.401541,81,-9.825,9 (Water),,,,,44374,,3,3,515473.401541,81
589926.419,2871152.682,-9.823,9 (Water),,,,,47041,,3,3,515473.401591,81,-9.823,9 (Water),,,,,47041,,3,3,515473.401591,81
589931.732,2871155.311,-9.796,9 (Water),,,,,46442,,3,3,515473.441460,81,-9.796,9 (Water),,,,,46442,,3,3,515473.441460,81
589930.673,2871152.031,-9.804,9 (Water),,,,,45881,,3,3,515473.441509,81,-9.804,9 (Water),,,,,45881,,3,3,515473.441509,81
589929.638,2871148.741,-9.83,9 (Water),,,,,46355,,3,3,515473.441559,81,-9.83,9 (Water),,,,,46355,,3,3,515473.441559,81
589928.626,2871145.444,-9.914,9 (Water),,,,,46252,,3,3,515473.441609,81,-9.914,9 (Water),,,,,46252,,3,3,515473.441609,81
589927.644,2871142.139,-9.903,9 (Water),,,,,46193,,3,3,515473.441659,81,-9.903,9 (Water),,,,,46193,,3,3,515473.441659,81
589931.950,2871141.868,-9.957,9 (Water),,,,,45910,,3,3,515473.481576,81,-9.957,9 (Water),,,,,45910,,3,3,515473.481576,81
