X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
589929.362,2871121.755,-9.978,9 (Water),,,,,411,,2,2,515473.521792,0,-9.978,9 (Water),,,,,411,,2,2,515473.521792,0
589926.255,2871170.420,-9.825,9 (Water),,,,,636,,2,2,515473.361423,0,-9.825,9 (Water),,,,,636,,2,2,515473.361423,0
589925.183,2871167.147,-9.704,9 (Water),,,,,822,,2,2,515473.361473,0,-9.704,9 (Water),,,,,822,,2,2,515473.361473,0
589930.650,2871169.641,-9.754,9 (Water),,,,,878,,2,2,515473.401342,0,-9.754,9 (Water),,,,,878,,2,2,515473.401342,0
589929.527,2871166.381,-9.823,9 (Water),,,,,865,,2,2,515473.401392,0,-9.823,9 (Water),,,,,865,,2,2,515473.401392,0
589928.432,2871163.112,-9.84,9 (Water),,,,,379,,2,2,515473.401441,0,-9.84,9 (Water),,,,,379,,2,2,515473.401441,0
589927.359,2871159.835,-9.908,9 (Water),,,,,723,,2,2,515473.401491,0,-9.908,9 (Water),,,,,723,,2,2,515473.401491,0
589926.321,2871156.550,-9.816,9 (Water),,,,,887,,2,2,515473.401541,0,-9.816,9 (Water),,,,,887,,2,2,515473.401541,0
589931.698,2871159.156,-9.822,9 (Water),,,,,692,,2,2,515473.441410,0,-9.822,9 (Water),,,,,692,,2,2,515473.441410,0
589930.616,2871155.885,-9.787,9 (Water),,,,,508,,2,2,515473.441460,0,-9.787,9 (Water),,,,,508,,2,2,515473.441460,0
589929.554,2871152.604,-9.837,9 (Water),,,,,1236,,2,2,515473.441509,0,-9.837,9 (Water),,,,,1236,,2,2,515473.441509,0
