X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
589933.828,2871099.497,-9.867,40 (Bathymetric Point),,,,,1212,0.1,2,2,341851098.922890,1,-9.867,40 (Bathymetric Point),,,,,1212,0.1,2,2,341851098.922890,1
589935.206,2871101.500,-9.866,40 (Bathymetric Point),,,,,1953,0.1,2,2,341851098.922990,1,-9.866,40 (Bathymetric Point),,,,,1953,0.1,2,2,341851098.922990,1
589931.168,2871100.431,-9.922,40 (Bathymetric Point),,,,,1245,0.1,2,2,341851098.959993,1,-9.922,40 (Bathymetric Point),,,,,1245,0.1,2,2,341851098.959993,1
589932.546,2871102.434,-9.903,40 (Bathymetric Point),,,,,1317,0.1,2,2,341851098.960093,1,-9.903,40 (Bathymetric Point),,,,,1317,0.1,2,2,341851098.960093,1
589933.964,2871104.426,-9.892,40 (Bathymetric Point),,,,,1219,0.1,2,2,341851098.960193,1,-9.892,40 (Bathymetric Point),,,,,1219,0.1,2,2,341851098.960193,1
589935.423,2871106.363,-9.867,40 (Bathymetric Point),,,,,1488,0.1,2,2,341851098.960293,1,-9.867,40 (Bathymetric Point),,,,,1488,0.1,2,2,341851098.960293,1
589931.344,2871105.416,-9.873,40 (Bathymetric Point),,,,,1422,0.1,2,2,341851098.997296,1,-9.873,40 (Bathymetric Point),,,,,1422,0.1,2,2,341851098.997296,1
589932.782,2871107.364,-9.85,40 (Bathymetric Point),,,,,721,0.1,2,2,341851098.997396,1,-9.85,40 (Bathymetric Point),,,,,721,0.1,2,2,341851098.997396,1
589934.281,2871109.291,-9.861,40 (Bathymetric Point),,,,,1284,0.1,2,2,341851098.997496,1,-9.861,40 (Bathymetric Point),,,,,1284,0.1,2,2,341851098.997496,1
589930.092,2871108.309,-9.914,40 (Bathymetric Point),,,,,1088,0.1,2,2,341851099.034499,1,-9.914,40 (Bathymetric Point),,,,,1088,0.1,2,2,341851099.034499,1
589931.631,2871110.203,-9.847,40 (Bathymetric Point),,,,,1324,0.1,2,2,341851099.034599,1,-9.847,40 (Bathymetric Point),,,,,1324,0.1,2,2,341851099.034599,1
589933.150,2871112.118,-9.842,40 (Bathymetric Point),,,,,1455,0.1,2,2,341851099.034699,1,-9.842,40 (Bathymetric Point),,,,,1455,0.1,2,2,341851099.034699,1
589934.730,2871113.979,-9.805,40 (Bathymetric Point),,,,,1396,0.1,2,2,341851099.034799,1,-9.805,40 (Bathymetric Point),,,,,1396,0.1,2,2,341851099.034799,1
589930.511,2871113.053,-9.798,40 (Bathymetric Point),,,,,1212,0.1,2,2,341851099.071802,1,-9.798,40 (Bathymetric Point),,,,,1212,0.1,2,2,341851099.071802,1
589932.100,2871114.902,-9.82,40 (Bathymetric Point),,,,,2313,0.1,2,2,341851099.071902,1,-9.82,40 (Bathymetric Point),,,,,2313,0.1,2,2,341851099.071902,1
589933.699,2871116.729,-9.827,40 (Bathymetric Point),,,,,1455,0.1,2,2,341851099.072002,1,-9.827,40 (Bathymetric Point),,,,,1455,0.1,2,2,341851099.072002,1
