X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
589924.876,2871179.862,-9.761,9 (Water),,,,,41729,,2,2,515460.422872,86,-9.761,9 (Water),,,,,41729,,2,2,515460.422872,86
589925.187,2871183.349,-9.711,9 (Water),,,,,42177,,3,3,515460.422922,86,-9.711,9 (Water),,,,,42177,,3,3,515460.422922,86
589925.486,2871186.839,-9.738,9 (Water),,,,,41435,,2,2,515460.422971,86,-9.738,9 (Water),,,,,41435,,2,2,515460.422971,86
589925.746,2871190.331,-9.712,9 (Water),,,,,41590,,2,2,515460.423021,86,-9.712,9 (Water),,,,,41590,,2,2,515460.423021,86
589925.981,2871193.824,-9.698,9 (Water),,,,,42084,,3,3,515460.423071,86,-9.698,9 (Water),,,,,42084,,3,3,515460.423071,86
589926.189,2871197.320,-9.687,9 (Water),,,,,41350,,3,3,515460.423121,86,-9.687,9 (Water),,,,,41350,,3,3,515460.423121,86
589926.372,2871200.817,-9.693,9 (Water),,,,,42320,,2,2,515460.423171,86,-9.693,9 (Water),,,,,42320,,2,2,515460.423171,86
589928.845,2871168.188,-9.76,9 (Water),,,,,41295,,3,3,515460.462738,86,-9.76,9 (Water),,,,,41295,,3,3,515460.462738,86
589929.252,2871171.669,-9.825,9 (Water),,,,,41887,,3,3,515460.462788,86,-9.825,9 (Water),,,,,41887,,3,3,515460.462788,86
589929.608,2871175.152,-9.767,9 (Water),,,,,41059,,3,3,515460.462838,86,-9.767,9 (Water),,,,,41059,,3,3,515460.462838,86
589929.957,2871178.638,-9.821,9 (Water),,,,,41759,,3,3,515460.462888,86,-9.821,9 (Water),,,,,41759,,3,3,515460.462888,86
589930.292,2871182.128,-9.94,9 (Water),,,,,41400,,3,3,515460.462937,86,-9.94,9 (Water),,,,,41400,,3,3,515460.462937,86
589930.542,2871185.617,-9.764,9 (Water),,,,,42293,,2,2,515460.462987,86,-9.764,9 (Water),,,,,42293,,2,2,515460.462987,86
589927.991,2871198.996,-9.729,9 (Water),,,,,46551,,3,3,515473.281187,81,-9.729,9 (Water),,,,,46551,,3,3,515473.281187,81
589926.791,2871195.765,-9.73,9 (Water),,,,,46973,,3,3,515473.281237,81,-9.73,9 (Water),,,,,46973,,3,3,515473.281237,81
589925.628,2871192.523,-9.518,9 (Water),,,,,48264,,3,3,515473.281287,81,-9.518,9 (Water),,,,,48264,,3,3,515473.281287,81
589929.906,2871190.677,-9.683,9 (Water),,,,,47214,,3,3,515473.321206,81,-9.683,9 (Water),,,,,47214,,3,3,515473.321206,81
589928.714,2871187.443,-9.723,9 (Water),,,,,46294,,3,3,515473.321256,81,-9.723,9 (Water),,,,,46294,,3,3,515473.321256,81
