X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
589926.873,2871199.571,-9.757,9 (Water),,,,,697,,2,2,515473.281187,0,-9.757,9 (Water),,,,,697,,2,2,515473.281187,0
589925.672,2871196.340,-9.773,9 (Water),,,,,999,,2,2,515473.281237,0,-9.773,9 (Water),,,,,999,,2,2,515473.281237,0
589930.002,2871194.477,-9.711,9 (Water),,,,,602,,2,2,515473.321157,0,-9.711,9 (Water),,,,,602,,2,2,515473.321157,0
589928.787,2871191.252,-9.726,9 (Water),,,,,766,,2,2,515473.321206,0,-9.726,9 (Water),,,,,766,,2,2,515473.321206,0
589927.592,2871188.018,-9.822,9 (Water),,,,,1118,,2,2,515473.321256,0,-9.822,9 (Water),,,,,1118,,2,2,515473.321256,0
589926.430,2871184.774,-9.784,9 (Water),,,,,1002,,2,2,515473.321306,0,-9.784,9 (Water),,,,,1002,,2,2,515473.321306,0
589925.285,2871181.520,-9.867,9 (Water),,,,,878,,2,2,515473.321356,0,-9.867,9 (Water),,,,,878,,2,2,515473.321356,0
589929.638,2871180.189,-9.9,9 (Water),,,,,1059,,2,2,515473.361274,0,-9.9,9 (Water),,,,,1059,,2,2,515473.361274,0
589928.483,2871176.941,-9.911,9 (Water),,,,,667,,2,2,515473.361324,0,-9.911,9 (Water),,,,,667,,2,2,515473.361324,0
589927.363,2871173.685,-9.753,9 (Water),,,,,654,,2,2,515473.361374,0,-9.753,9 (Water),,,,,654,,2,2,515473.361374,0
589926.255,2871170.420,-9.825,9 (Water),,,,,636,,2,2,515473.361423,0,-9.825,9 (Water),,,,,636,,2,2,515473.361423,0
589925.183,2871167.147,-9.704,9 (Water),,,,,822,,2,2,515473.361473,0,-9.704,9 (Water),,,,,822,,2,2,515473.361473,0
589930.650,2871169.641,-9.754,9 (Water),,,,,878,,2,2,515473.401342,0,-9.754,9 (Water),,,,,878,,2,2,515473.401342,0
589925.608,2871193.906,-9.978,9 (Water),,,,,724,,1,1,516798.257788,0,-9.978,9 (Water),,,,,724,,1,1,516798.257788,0
589930.423,2871199.592,-9.748,9 (Water),,,,,542,,2,2,516798.177778,0,-9.748,9 (Water),,,,,542,,2,2,516798.177778,0
589927.218,2871200.850,-9.84,9 (Water),,,,,878,,2,2,516798.177828,0,-9.84,9 (Water),,,,,878,,2,2,516798.177828,0
589927.980,2871197.272,-9.748,9 (Water),,,,,1007,,2,2,516798.217782,0,-9.748,9 (Water),,,,,1007,,2,2,516798.217782,0
589924.772,2871198.524,-9.732,9 (Water),,,,,697,,2,2,516798.217832,0,-9.732,9 (Water),,,,,697,,2,2,516798.217832,0
589928.913,2871193.649,-9.799,9 (Water),,,,,433,,2,2,516798.257739,0,-9.799,9 (Water),,,,,433,,2,2,516798.257739,0
589925.713,2871194.921,-9.713,9 (Water),,,,,1172,,2,2,516798.257788,0,-9.713,9 (Water),,,,,1172,,2,2,516798.257788,0
589929.929,2871189.960,-9.854,9 (Water),,,,,662,,2,2,516798.297695,0,-9.854,9 (Water),,,,,662,,2,2,516798.297695,0
589926.737,2871191.255,-9.736,9 (Water),,,,,688,,2,2,516798.297745,0,-9.736,9 (Water),,,,,688,,2,2,516798.297745,0
589928.093,2871187.518,-9.879,9 (Water),,,,,731,,2,2,516798.337703,0,-9.879,9 (Water),,,,,731,,2,2,516798.337703,0
589924.903,2871188.813,-9.778,9 (Water),,,,,843,,2,2,516798.337753,0,-9.778,9 (Water),,,,,843,,2,2,516798.337753,0
589929.632,2871183.646,-9.856,9 (Water),,,,,1133,,2,2,516798.377660,0,-9.856,9 (Water),,,,,1133,,2,2,516798.377660,0
589926.456,2871184.973,-9.897,9 (Water),,,,,926,,2,2,516798.377710,0,-9.897,9 (Water),,,,,926,,2,2,516798.377710,0
589928.244,2871180.994,-9.938,9 (Water),,,,,1033,,2,2,516798.417667,0,-9.938,9 (Water),,,,,1033,,2,2,516798.417667,0
589925.066,2871182.317,-9.919,9 (Water),,,,,1239,,2,2,516798.417717,0,-9.919,9 (Water),,,,,1239,,2,2,516798.417717,0
589930.373,2871176.818,-9.884,9 (Water),,,,,809,,2,2,516798.457621,0,-9.884,9 (Water),,,,,809,,2,2,516798.457621,0
589927.205,2871178.164,-9.826,9 (Water),,,,,377,,2,2,516798.457671,0,-9.826,9 (Water),,,,,377,,2,2,516798.457671,0
589929.333,2871173.973,-9.814,9 (Water),,,,,1179,,2,2,516798.497627,0,-9.814,9 (Water),,,,,1179,,2,2,516798.497627,0
589926.168,2871175.323,-9.817,9 (Water),,,,,485,,2,2,516798.497677,0,-9.817,9 (Water),,,,,485,,2,2,516798.497677,0
589928.498,2871171.059,-9.778,9 (Water),,,,,938,,2,2,516798.537634,0,-9.778,9 (Water),,,,,938,,2,2,516798.537634,0
589925.334,2871172.410,-9.826,9 (Water),,,,,736,,2,2,516798.537684,0,-9.826,9 (Water),,,,,736,,2,2,516798.537684,0
589927.819,2871168.040,-9.899,9 (Water),,,,,1071,,2,2,516798.577641,0,-9.899,9 (Water),,,,,1071,,2,2,516798.577641,0
