X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
589930.560,2871188.999,-9.709,40 (Bathymetric Point),,,,,1461,0.1,2,2,341851991.512572,3,-9.709,40 (Bathymetric Point),,,,,1461,0.1,2,2,341851991.512572,3
589930.303,2871191.500,-9.771,40 (Bathymetric Point),,,,,1678,0.1,2,2,341851991.512673,3,-9.771,40 (Bathymetric Point),,,,,1678,0.1,2,2,341851991.512673,3
589930.105,2871194.013,-9.781,40 (Bathymetric Point),,,,,1324,0.1,2,2,341851991.512773,3,-9.781,40 (Bathymetric Point),,,,,1324,0.1,2,2,341851991.512773,3
589929.998,2871196.515,-9.736,40 (Bathymetric Point),,,,,1887,0.1,2,2,341851991.512873,3,-9.736,40 (Bathymetric Point),,,,,1887,0.1,2,2,341851991.512873,3
589929.860,2871199.028,-9.827,40 (Bathymetric Point),,,,,1887,0.1,2,2,341851991.512973,3,-9.827,40 (Bathymetric Point),,,,,1887,0.1,2,2,341851991.512973,3
589930.458,2871173.226,-9.775,40 (Bathymetric Point),,,,,1475,0.1,2,2,341851991.548975,3,-9.775,40 (Bathymetric Point),,,,,1475,0.1,2,2,341851991.548975,3
589929.961,2871175.682,-9.81,40 (Bathymetric Point),,,,,2104,0.1,2,2,341851991.549075,3,-9.81,40 (Bathymetric Point),,,,,2104,0.1,2,2,341851991.549075,3
589929.483,2871178.148,-9.786,40 (Bathymetric Point),,,,,1560,0.1,2,2,341851991.549175,3,-9.786,40 (Bathymetric Point),,,,,1560,0.1,2,2,341851991.549175,3
589929.086,2871180.626,-9.775,40 (Bathymetric Point),,,,,1907,0.1,2,2,341851991.549275,3,-9.775,40 (Bathymetric Point),,,,,1907,0.1,2,2,341851991.549275,3
589928.678,2871183.116,-9.774,40 (Bathymetric Point),,,,,1396,0.1,2,2,341851991.549375,3,-9.774,40 (Bathymetric Point),,,,,1396,0.1,2,2,341851991.549375,3
589928.341,2871185.594,-9.748,40 (Bathymetric Point),,,,,1710,0.1,2,2,341851991.549475,3,-9.748,40 (Bathymetric Point),,,,,1710,0.1,2,2,341851991.549475,3
