X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
590933.301,2871184.370,-21.849,9 (Water),,,,,36338,,2,2,515476.026960,85,-21.849,9 (Water),,,,,36338,,2,2,515476.026960,85
590938.053,2871186.433,-21.905,9 (Water),,,,,35969,,3,3,515476.066928,85,-21.905,9 (Water),,,,,35969,,3,3,515476.066928,85
590936.141,2871189.352,-21.896,9 (Water),,,,,36270,,3,3,515476.066978,85,-21.896,9 (Water),,,,,36270,,3,3,515476.066978,85
590934.221,2871192.255,-22.006,9 (Water),,,,,36194,,3,3,515476.067028,85,-22.006,9 (Water),,,,,36194,,3,3,515476.067028,85
590932.249,2871195.143,-21.891,9 (Water),,,,,36018,,3,3,515476.067078,85,-21.891,9 (Water),,,,,36018,,3,3,515476.067078,85
590930.289,2871198.016,-22.035,9 (Water),,,,,36262,,3,3,515476.067128,85,-22.035,9 (Water),,,,,36262,,3,3,515476.067128,85
590935.057,2871200.263,-21.87,9 (Water),,,,,36292,,3,3,515476.107096,85,-21.87,9 (Water),,,,,36292,,3,3,515476.107096,85
590933.079,2871203.129,-21.949,9 (Water),,,,,36093,,3,3,515476.107146,85,-21.949,9 (Water),,,,,36093,,3,3,515476.107146,85
590931.090,2871205.979,-22.111,9 (Water),,,,,36135,,3,3,515476.107196,85,-22.111,9 (Water),,,,,36135,,3,3,515476.107196,85
590929.050,2871208.813,-22.047,9 (Water),,,,,36059,,3,3,515476.107246,85,-22.047,9 (Water),,,,,36059,,3,3,515476.107246,85
590931.862,2871213.828,-22.074,9 (Water),,,,,35844,,3,3,515476.147265,85,-22.074,9 (Water),,,,,35844,,3,3,515476.147265,85
590929.776,2871216.638,-21.895,9 (Water),,,,,36000,,3,3,515476.147315,85,-21.895,9 (Water),,,,,36000,,3,3,515476.147315,85
590927.704,2871219.432,-21.996,9 (Water),,,,,36176,,3,3,515476.147365,85,-21.996,9 (Water),,,,,36176,,3,3,515476.147365,85
590925.607,2871222.210,-22.076,9 (Water),,,,,35737,,3,3,515476.147415,85,-22.076,9 (Water),,,,,35737,,3,3,515476.147415,85
590927.860,2871222.795,-22.079,9 (Water),,,,,36458,,3,3,515485.763984,80,-22.079,9 (Water),,,,,36458,,3,3,515485.763984,80
590928.131,2871219.355,-22.074,9 (Water),,,,,36346,,3,3,515485.764034,80,-22.074,9 (Water),,,,,36346,,3,3,515485.764034,80
590928.425,2871215.919,-22.122,9 (Water),,,,,36379,,3,3,515485.764084,80,-22.122,9 (Water),,,,,36379,,3,3,515485.764084,80
590928.747,2871212.485,-22.155,9 (Water),,,,,36840,,3,3,515485.764134,80,-22.155,9 (Water),,,,,36840,,3,3,515485.764134,80
590929.100,2871209.051,-22.117,9 (Water),,,,,36595,,3,3,515485.764184,81,-22.117,9 (Water),,,,,36595,,3,3,515485.764184,81
590929.479,2871205.622,-22.097,9 (Water),,,,,36238,,3,3,515485.764233,81,-22.097,9 (Water),,,,,36238,,3,3,515485.764233,81
