X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
590936.333,2871183.501,-21.768,40 (Bathymetric Point),,,,,21187,0.1,2,2,341851977.653864,3,-21.768,40 (Bathymetric Point),,,,,21187,0.1,2,2,341851977.653864,3
590936.246,2871185.993,-21.781,40 (Bathymetric Point),,,,,19202,0.1,2,2,341851977.653964,3,-21.781,40 (Bathymetric Point),,,,,19202,0.1,2,2,341851977.653964,3
590936.198,2871188.507,-21.75,40 (Bathymetric Point),,,,,19018,0.1,2,2,341851977.654064,3,-21.75,40 (Bathymetric Point),,,,,19018,0.1,2,2,341851977.654064,3
590936.171,2871191.010,-21.767,40 (Bathymetric Point),,,,,17491,0.1,2,2,341851977.654164,3,-21.767,40 (Bathymetric Point),,,,,17491,0.1,2,2,341851977.654164,3
590936.173,2871193.524,-21.867,40 (Bathymetric Point),,,,,19267,0.1,2,2,341851977.654264,3,-21.867,40 (Bathymetric Point),,,,,19267,0.1,2,2,341851977.654264,3
590936.286,2871196.039,-21.864,40 (Bathymetric Point),,,,,19942,0.1,2,2,341851977.654364,3,-21.864,40 (Bathymetric Point),,,,,19942,0.1,2,2,341851977.654364,3
590933.653,2871184.524,-21.925,40 (Bathymetric Point),,,,,21994,0.1,2,2,341851977.690967,3,-21.925,40 (Bathymetric Point),,,,,21994,0.1,2,2,341851977.690967,3
590933.575,2871187.049,-21.903,40 (Bathymetric Point),,,,,21620,0.1,2,2,341851977.691067,3,-21.903,40 (Bathymetric Point),,,,,21620,0.1,2,2,341851977.691067,3
590933.568,2871189.563,-21.918,40 (Bathymetric Point),,,,,19778,0.1,2,2,341851977.691167,3,-21.918,40 (Bathymetric Point),,,,,19778,0.1,2,2,341851977.691167,3
590933.580,2871192.066,-21.933,40 (Bathymetric Point),,,,,21843,0.1,2,2,341851977.691267,3,-21.933,40 (Bathymetric Point),,,,,21843,0.1,2,2,341851977.691267,3
590933.613,2871194.569,-21.888,40 (Bathymetric Point),,,,,21771,0.1,2,2,341851977.691367,3,-21.888,40 (Bathymetric Point),,,,,21771,0.1,2,2,341851977.691367,3
