X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591458.763,2870936.707,-30.459,9 (Water),,,,,34854,,3,3,515482.779109,85,-30.459,9 (Water),,,,,34854,,3,3,515482.779109,85
591465.169,2870945.003,-30.485,9 (Water),,,,,34759,,3,3,515482.779258,85,-30.485,9 (Water),,,,,34759,,3,3,515482.779258,85
591455.686,2870919.955,-30.328,9 (Water),,,,,34792,,3,3,515482.858899,85,-30.328,9 (Water),,,,,34792,,3,3,515482.858899,85
591457.924,2870922.634,-30.27,9 (Water),,,,,34882,,3,3,515482.858949,85,-30.27,9 (Water),,,,,34882,,3,3,515482.858949,85
591460.166,2870925.320,-30.414,9 (Water),,,,,34833,,3,3,515482.858999,85,-30.414,9 (Water),,,,,34833,,3,3,515482.858999,85
591462.393,2870928.023,-30.605,9 (Water),,,,,34908,,3,3,515482.859048,85,-30.605,9 (Water),,,,,34908,,3,3,515482.859048,85
591452.783,2870910.400,-30.302,9 (Water),,,,,34800,,3,3,515482.898767,85,-30.302,9 (Water),,,,,34800,,3,3,515482.898767,85
591457.375,2870915.671,-30.396,9 (Water),,,,,34783,,3,3,515482.898866,85,-30.396,9 (Water),,,,,34783,,3,3,515482.898866,85
591448.284,2870882.085,-30.558,9 (Water),,,,,34883,,3,3,515488.650706,83,-30.558,9 (Water),,,,,34883,,3,3,515488.650706,83
591451.381,2870880.529,-30.513,9 (Water),,,,,34759,,3,3,515488.650756,83,-30.513,9 (Water),,,,,34759,,3,3,515488.650756,83
591449.984,2870884.323,-30.569,9 (Water),,,,,34887,,3,3,515488.690676,83,-30.569,9 (Water),,,,,34887,,3,3,515488.690676,83
591448.608,2870888.281,-30.509,9 (Water),,,,,34895,,3,3,515488.730597,83,-30.509,9 (Water),,,,,34895,,3,3,515488.730597,83
591451.675,2870886.667,-30.496,9 (Water),,,,,34775,,3,3,515488.730647,83,-30.496,9 (Water),,,,,34775,,3,3,515488.730647,83
591450.267,2870890.526,-30.524,9 (Water),,,,,35047,,3,3,515488.770567,83,-30.524,9 (Water),,,,,35047,,3,3,515488.770567,83
591451.831,2870892.636,-30.468,9 (Water),,,,,34879,,3,3,515488.810536,83,-30.468,9 (Water),,,,,34879,,3,3,515488.810536,83
591450.475,2870896.166,-30.526,9 (Water),,,,,34792,,3,3,515488.850456,83,-30.526,9 (Water),,,,,34792,,3,3,515488.850456,83
591453.500,2870894.479,-30.487,9 (Water),,,,,34975,,3,3,515488.850506,83,-30.487,9 (Water),,,,,34975,,3,3,515488.850506,83
591452.045,2870898.090,-30.364,9 (Water),,,,,34833,,3,3,515488.890424,83,-30.364,9 (Water),,,,,34833,,3,3,515488.890424,83
591450.747,2870901.718,-30.306,9 (Water),,,,,34771,,3,3,515488.930344,83,-30.306,9 (Water),,,,,34771,,3,3,515488.930344,83
591452.532,2870903.792,-30.412,9 (Water),,,,,34979,,3,3,515488.970314,83,-30.412,9 (Water),,,,,34979,,3,3,515488.970314,83
591455.515,2870902.033,-30.371,9 (Water),,,,,34950,,3,3,515488.970364,83,-30.371,9 (Water),,,,,34950,,3,3,515488.970364,83
