X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591465.727,2870947.961,-30.081,40 (Bathymetric Point),,,,,37866,0.1,2,2,341851077.165050,1,-30.081,40 (Bathymetric Point),,,,,37866,0.1,2,2,341851077.165050,1
591465.337,2870942.210,-30.046,40 (Bathymetric Point),,,,,33757,0.1,2,2,341851077.201853,1,-30.046,40 (Bathymetric Point),,,,,33757,0.1,2,2,341851077.201853,1
591464.489,2870944.619,-30.039,40 (Bathymetric Point),,,,,36038,0.1,2,2,341851077.201953,1,-30.039,40 (Bathymetric Point),,,,,36038,0.1,2,2,341851077.201953,1
591463.631,2870947.038,-30.129,40 (Bathymetric Point),,,,,38613,0.1,2,2,341851077.202053,1,-30.129,40 (Bathymetric Point),,,,,38613,0.1,2,2,341851077.202053,1
591464.149,2870938.824,-30.208,40 (Bathymetric Point),,,,,38685,0.1,2,2,341851077.238756,1,-30.208,40 (Bathymetric Point),,,,,38685,0.1,2,2,341851077.238756,1
591463.241,2870941.243,-30.155,40 (Bathymetric Point),,,,,38856,0.1,2,2,341851077.238856,1,-30.155,40 (Bathymetric Point),,,,,38856,0.1,2,2,341851077.238856,1
591462.403,2870943.652,-30.048,40 (Bathymetric Point),,,,,34517,0.1,2,2,341851077.238956,1,-30.048,40 (Bathymetric Point),,,,,34517,0.1,2,2,341851077.238956,1
591461.535,2870946.082,-30.107,40 (Bathymetric Point),,,,,42047,0.1,2,2,341851077.239056,1,-30.107,40 (Bathymetric Point),,,,,42047,0.1,2,2,341851077.239056,1
591463.050,2870935.582,-30.263,40 (Bathymetric Point),,,,,39360,0.1,2,2,341851077.275659,1,-30.263,40 (Bathymetric Point),,,,,39360,0.1,2,2,341851077.275659,1
591462.032,2870937.978,-30.209,40 (Bathymetric Point),,,,,39059,0.1,2,2,341851077.275759,1,-30.209,40 (Bathymetric Point),,,,,39059,0.1,2,2,341851077.275759,1
591461.204,2870940.387,-30.055,40 (Bathymetric Point),,,,,37126,0.1,2,2,341851077.275859,1,-30.055,40 (Bathymetric Point),,,,,37126,0.1,2,2,341851077.275859,1
591460.306,2870942.784,-30.08,40 (Bathymetric Point),,,,,37899,0.1,2,2,341851077.275959,1,-30.08,40 (Bathymetric Point),,,,,37899,0.1,2,2,341851077.275959,1
591462.072,2870932.286,-30.225,40 (Bathymetric Point),,,,,37774,0.1,2,2,341851077.312562,1,-30.225,40 (Bathymetric Point),,,,,37774,0.1,2,2,341851077.312562,1
591461.064,2870934.649,-30.161,40 (Bathymetric Point),,,,,40887,0.1,2,2,341851077.312662,1,-30.161,40 (Bathymetric Point),,,,,40887,0.1,2,2,341851077.312662,1
591460.136,2870937.046,-30.094,40 (Bathymetric Point),,,,,40219,0.1,2,2,341851077.312762,1,-30.094,40 (Bathymetric Point),,,,,40219,0.1,2,2,341851077.312762,1
591459.089,2870939.387,-30.169,40 (Bathymetric Point),,,,,38692,0.1,2,2,341851077.312862,1,-30.169,40 (Bathymetric Point),,,,,38692,0.1,2,2,341851077.312862,1
591461.144,2870928.990,-30.23,40 (Bathymetric Point),,,,,38476,0.1,2,2,341851077.349465,1,-30.23,40 (Bathymetric Point),,,,,38476,0.1,2,2,341851077.349465,1
591460.106,2870931.353,-30.139,40 (Bathymetric Point),,,,,37951,0.1,2,2,341851077.349565,1,-30.139,40 (Bathymetric Point),,,,,37951,0.1,2,2,341851077.349565,1
591459.148,2870933.705,-30.036,40 (Bathymetric Point),,,,,40127,0.1,2,2,341851077.349665,1,-30.036,40 (Bathymetric Point),,,,,40127,0.1,2,2,341851077.349665,1
591458.091,2870936.035,-30.096,40 (Bathymetric Point),,,,,42631,0.1,2,2,341851077.349765,1,-30.096,40 (Bathymetric Point),,,,,42631,0.1,2,2,341851077.349765,1
591460.435,2870925.862,-30.169,40 (Bathymetric Point),,,,,39636,0.1,2,2,341851077.386368,1,-30.169,40 (Bathymetric Point),,,,,39636,0.1,2,2,341851077.386368,1
591459.277,2870928.157,-30.187,40 (Bathymetric Point),,,,,39668,0.1,2,2,341851077.386468,1,-30.187,40 (Bathymetric Point),,,,,39668,0.1,2,2,341851077.386468,1
591458.220,2870930.487,-30.029,40 (Bathymetric Point),,,,,34910,0.1,2,2,341851077.386568,1,-30.029,40 (Bathymetric Point),,,,,34910,0.1,2,2,341851077.386568,1
591459.656,2870922.655,-30.227,40 (Bathymetric Point),,,,,41772,0.1,2,2,341851077.423271,1,-30.227,40 (Bathymetric Point),,,,,41772,0.1,2,2,341851077.423271,1
591458.468,2870924.940,-30.124,40 (Bathymetric Point),,,,,36647,0.1,2,2,341851077.423371,1,-30.124,40 (Bathymetric Point),,,,,36647,0.1,2,2,341851077.423371,1
591457.291,2870927.202,-30.144,40 (Bathymetric Point),,,,,38921,0.1,2,2,341851077.423471,1,-30.144,40 (Bathymetric Point),,,,,38921,0.1,2,2,341851077.423471,1
591459.007,2870919.538,-30.163,40 (Bathymetric Point),,,,,39301,0.1,2,2,341851077.460174,1,-30.163,40 (Bathymetric Point),,,,,39301,0.1,2,2,341851077.460174,1
591457.730,2870921.767,-30.141,40 (Bathymetric Point),,,,,40776,0.1,2,2,341851077.460274,1,-30.141,40 (Bathymetric Point),,,,,40776,0.1,2,2,341851077.460274,1
591456.492,2870924.007,-30.12,40 (Bathymetric Point),,,,,39563,0.1,2,2,341851077.460374,1,-30.12,40 (Bathymetric Point),,,,,39563,0.1,2,2,341851077.460374,1
591458.487,2870916.489,-30.179,40 (Bathymetric Point),,,,,41641,0.1,2,2,341851077.497076,1,-30.179,40 (Bathymetric Point),,,,,41641,0.1,2,2,341851077.497076,1
591457.170,2870918.695,-30.117,40 (Bathymetric Point),,,,,39963,0.1,2,2,341851077.497176,1,-30.117,40 (Bathymetric Point),,,,,39963,0.1,2,2,341851077.497176,1
591455.853,2870920.901,-30.131,40 (Bathymetric Point),,,,,41031,0.1,2,2,341851077.497276,1,-30.131,40 (Bathymetric Point),,,,,41031,0.1,2,2,341851077.497276,1
591458.008,2870913.373,-30.119,40 (Bathymetric Point),,,,,39622,0.1,2,2,341851077.533979,1,-30.119,40 (Bathymetric Point),,,,,39622,0.1,2,2,341851077.533979,1
591456.632,2870915.546,-30.049,40 (Bathymetric Point),,,,,40402,0.1,2,2,341851077.534079,1,-30.049,40 (Bathymetric Point),,,,,40402,0.1,2,2,341851077.534079,1
591455.285,2870917.707,-30.01,40 (Bathymetric Point),,,,,40035,0.1,2,2,341851077.534179,1,-30.01,40 (Bathymetric Point),,,,,40035,0.1,2,2,341851077.534179,1
