X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591462.686,2871207.289,-56.081,40 (Bathymetric Point),,,,,22865,0.1,2,2,341842350.167830,3,-56.081,40 (Bathymetric Point),,,,,22865,0.1,2,2,341842350.167830,3
591462.688,2871209.881,-56.187,40 (Bathymetric Point),,,,,22203,0.1,2,2,341842350.167930,3,-56.187,40 (Bathymetric Point),,,,,22203,0.1,2,2,341842350.167930,3
591460.077,2871210.948,-56.1,40 (Bathymetric Point),,,,,23914,0.1,2,2,341842350.205033,3,-56.1,40 (Bathymetric Point),,,,,23914,0.1,2,2,341842350.205033,3
591461.586,2871210.006,-55.947,40 (Bathymetric Point),,,,,19162,0.1,2,2,341842354.447572,3,-55.947,40 (Bathymetric Point),,,,,19162,0.1,2,2,341842354.447572,3
591461.624,2871207.392,-55.914,40 (Bathymetric Point),,,,,16882,0.1,2,2,341842354.447672,3,-55.914,40 (Bathymetric Point),,,,,16882,0.1,2,2,341842354.447672,3
591462.620,2871199.469,-56.29,40 (Bathymetric Point),,,,,23095,0.1,2,2,341842350.167530,3,-56.29,40 (Bathymetric Point),,,,,23095,0.1,2,2,341842350.167530,3
591462.532,2871202.071,-56.276,40 (Bathymetric Point),,,,,23239,0.1,2,2,341842350.167630,3,-56.276,40 (Bathymetric Point),,,,,23239,0.1,2,2,341842350.167630,3
591462.654,2871204.664,-56.195,40 (Bathymetric Point),,,,,21568,0.1,2,2,341842350.167730,3,-56.195,40 (Bathymetric Point),,,,,21568,0.1,2,2,341842350.167730,3
591464.256,2871203.224,-56.114,40 (Bathymetric Point),,,,,17459,0.1,2,2,341842354.410769,3,-56.114,40 (Bathymetric Point),,,,,17459,0.1,2,2,341842354.410769,3
591464.264,2871200.621,-56.323,40 (Bathymetric Point),,,,,17406,0.1,2,2,341842354.410869,3,-56.323,40 (Bathymetric Point),,,,,17406,0.1,2,2,341842354.410869,3
591461.562,2871204.767,-55.867,40 (Bathymetric Point),,,,,15492,0.1,2,2,341842354.447772,3,-55.867,40 (Bathymetric Point),,,,,15492,0.1,2,2,341842354.447772,3
591461.510,2871202.153,-55.73,40 (Bathymetric Point),,,,,14208,0.1,2,2,341842354.447872,3,-55.73,40 (Bathymetric Point),,,,,14208,0.1,2,2,341842354.447872,3
591461.348,2871199.560,-55.6,40 (Bathymetric Point),,,,,15132,0.1,2,2,341842354.447972,3,-55.6,40 (Bathymetric Point),,,,,15132,0.1,2,2,341842354.447972,3
591462.800,2871212.473,-56.169,40 (Bathymetric Point),,,,,21502,0.1,2,2,341842350.168030,3,-56.169,40 (Bathymetric Point),,,,,21502,0.1,2,2,341842350.168030,3
591462.852,2871215.087,-56.373,40 (Bathymetric Point),,,,,22085,0.1,2,2,341842350.168130,3,-56.373,40 (Bathymetric Point),,,,,22085,0.1,2,2,341842350.168130,3
591460.169,2871213.551,-56.172,40 (Bathymetric Point),,,,,22256,0.1,2,2,341842350.205133,3,-56.172,40 (Bathymetric Point),,,,,22256,0.1,2,2,341842350.205133,3
591460.351,2871216.133,-56.142,40 (Bathymetric Point),,,,,23724,0.1,2,2,341842350.205233,3,-56.142,40 (Bathymetric Point),,,,,23724,0.1,2,2,341842350.205233,3
591461.349,2871215.232,-55.97,40 (Bathymetric Point),,,,,17393,0.1,2,2,341842354.447372,3,-55.97,40 (Bathymetric Point),,,,,17393,0.1,2,2,341842354.447372,3
591461.527,2871212.631,-56.159,40 (Bathymetric Point),,,,,17550,0.1,2,2,341842354.447472,3,-56.159,40 (Bathymetric Point),,,,,17550,0.1,2,2,341842354.447472,3
591463.114,2871217.670,-56.213,40 (Bathymetric Point),,,,,20421,0.1,2,2,341842350.168230,3,-56.213,40 (Bathymetric Point),,,,,20421,0.1,2,2,341842350.168230,3
591460.543,2871218.737,-56.2,40 (Bathymetric Point),,,,,22269,0.1,2,2,341842350.205333,3,-56.2,40 (Bathymetric Point),,,,,22269,0.1,2,2,341842350.205333,3
591460.836,2871221.320,-56.118,40 (Bathymetric Point),,,,,23986,0.1,2,2,341842350.205433,3,-56.118,40 (Bathymetric Point),,,,,23986,0.1,2,2,341842350.205433,3
591458.315,2871222.355,-55.996,40 (Bathymetric Point),,,,,24694,0.1,2,2,341842350.242536,3,-55.996,40 (Bathymetric Point),,,,,24694,0.1,2,2,341842350.242536,3
591460.824,2871223.037,-55.952,40 (Bathymetric Point),,,,,16646,0.1,2,2,341842354.447072,3,-55.952,40 (Bathymetric Point),,,,,16646,0.1,2,2,341842354.447072,3
591460.992,2871220.413,-55.889,40 (Bathymetric Point),,,,,17701,0.1,2,2,341842354.447172,3,-55.889,40 (Bathymetric Point),,,,,17701,0.1,2,2,341842354.447172,3
591461.271,2871217.845,-55.946,40 (Bathymetric Point),,,,,17662,0.1,2,2,341842354.447272,3,-55.946,40 (Bathymetric Point),,,,,17662,0.1,2,2,341842354.447272,3
591462.879,2871196.868,-56.116,40 (Bathymetric Point),,,,,23455,0.1,2,2,341842350.167430,3,-56.116,40 (Bathymetric Point),,,,,23455,0.1,2,2,341842350.167430,3
591464.082,2871198.006,-56.195,40 (Bathymetric Point),,,,,17177,0.1,2,2,341842354.410969,3,-56.195,40 (Bathymetric Point),,,,,17177,0.1,2,2,341842354.410969,3
591464.061,2871195.392,-56.621,40 (Bathymetric Point),,,,,16364,0.1,2,2,341842354.411069,3,-56.621,40 (Bathymetric Point),,,,,16364,0.1,2,2,341842354.411069,3
591461.176,2871196.945,-55.47,40 (Bathymetric Point),,,,,12602,0.1,2,2,341842354.448072,3,-55.47,40 (Bathymetric Point),,,,,12602,0.1,2,2,341842354.448072,3
591457.787,2871236.395,-56.137,40 (Bathymetric Point),,,,,24196,0.1,2,2,341842350.280139,3,-56.137,40 (Bathymetric Point),,,,,24196,0.1,2,2,341842350.280139,3
591458.891,2871235.982,-55.828,40 (Bathymetric Point),,,,,19372,0.1,2,2,341842354.446572,3,-55.828,40 (Bathymetric Point),,,,,19372,0.1,2,2,341842354.446572,3
591459.253,2871230.103,-56.143,40 (Bathymetric Point),,,,,23901,0.1,2,2,341842350.242836,3,-56.143,40 (Bathymetric Point),,,,,23901,0.1,2,2,341842350.242836,3
591459.645,2871232.675,-56.322,40 (Bathymetric Point),,,,,23403,0.1,2,2,341842350.242936,3,-56.322,40 (Bathymetric Point),,,,,23403,0.1,2,2,341842350.242936,3
591456.821,2871231.293,-56.088,40 (Bathymetric Point),,,,,21640,0.1,2,2,341842350.279939,3,-56.088,40 (Bathymetric Point),,,,,21640,0.1,2,2,341842350.279939,3
591457.344,2871233.845,-56.125,40 (Bathymetric Point),,,,,27518,0.1,2,2,341842350.280039,3,-56.125,40 (Bathymetric Point),,,,,27518,0.1,2,2,341842350.280039,3
591459.350,2871233.404,-55.785,40 (Bathymetric Point),,,,,17354,0.1,2,2,341842354.446672,3,-55.785,40 (Bathymetric Point),,,,,17354,0.1,2,2,341842354.446672,3
591459.758,2871230.827,-55.719,40 (Bathymetric Point),,,,,16784,0.1,2,2,341842354.446772,3,-55.719,40 (Bathymetric Point),,,,,16784,0.1,2,2,341842354.446772,3
591456.436,2871234.879,-55.768,40 (Bathymetric Point),,,,,18461,0.1,2,2,341842354.483675,3,-55.768,40 (Bathymetric Point),,,,,18461,0.1,2,2,341842354.483675,3
591456.894,2871232.291,-55.743,40 (Bathymetric Point),,,,,18815,0.1,2,2,341842354.483775,3,-55.743,40 (Bathymetric Point),,,,,18815,0.1,2,2,341842354.483775,3
591457.283,2871229.691,-55.689,40 (Bathymetric Point),,,,,18415,0.1,2,2,341842354.483875,3,-55.689,40 (Bathymetric Point),,,,,18415,0.1,2,2,341842354.483875,3
591461.108,2871223.914,-56.225,40 (Bathymetric Point),,,,,24982,0.1,2,2,341842350.205533,3,-56.225,40 (Bathymetric Point),,,,,24982,0.1,2,2,341842350.205533,3
591458.698,2871224.916,-55.875,40 (Bathymetric Point),,,,,24110,0.1,2,2,341842350.242636,3,-55.875,40 (Bathymetric Point),,,,,24110,0.1,2,2,341842350.242636,3
591459.000,2871227.499,-55.943,40 (Bathymetric Point),,,,,23763,0.1,2,2,341842350.242736,3,-55.943,40 (Bathymetric Point),,,,,23763,0.1,2,2,341842350.242736,3
591460.187,2871228.249,-55.879,40 (Bathymetric Point),,,,,17668,0.1,2,2,341842354.446872,3,-55.879,40 (Bathymetric Point),,,,,17668,0.1,2,2,341842354.446872,3
591460.555,2871225.649,-55.978,40 (Bathymetric Point),,,,,19641,0.1,2,2,341842354.446972,3,-55.978,40 (Bathymetric Point),,,,,19641,0.1,2,2,341842354.446972,3
591457.661,2871227.124,-55.723,40 (Bathymetric Point),,,,,17596,0.1,2,2,341842354.483975,3,-55.723,40 (Bathymetric Point),,,,,17596,0.1,2,2,341842354.483975,3
591458.230,2871224.558,-56.492,40 (Bathymetric Point),,,,,20991,0.1,2,2,341842354.484075,3,-56.492,40 (Bathymetric Point),,,,,20991,0.1,2,2,341842354.484075,3
591460.790,2871200.564,-55.663,40 (Bathymetric Point),,,,,20231,0.1,2,2,341842726.251833,4,-55.663,40 (Bathymetric Point),,,,,20231,0.1,2,2,341842726.251833,4
591461.224,2871198.751,-56.06,40 (Bathymetric Point),,,,,16462,0.1,2,2,341842730.642884,4,-56.06,40 (Bathymetric Point),,,,,16462,0.1,2,2,341842730.642884,4
591463.442,2871195.133,-56.39,40 (Bathymetric Point),,,,,16574,0.1,2,2,341842730.679787,4,-56.39,40 (Bathymetric Point),,,,,16574,0.1,2,2,341842730.679787,4
591463.524,2871197.703,-56.429,40 (Bathymetric Point),,,,,15571,0.1,2,2,341842730.679887,4,-56.429,40 (Bathymetric Point),,,,,15571,0.1,2,2,341842730.679887,4
591463.746,2871200.263,-56.351,40 (Bathymetric Point),,,,,17576,0.1,2,2,341842730.679987,4,-56.351,40 (Bathymetric Point),,,,,17576,0.1,2,2,341842730.679987,4
591457.655,2871232.363,-55.698,40 (Bathymetric Point),,,,,21712,0.1,2,2,341842726.213530,4,-55.698,40 (Bathymetric Point),,,,,21712,0.1,2,2,341842726.213530,4
591457.953,2871229.873,-55.707,40 (Bathymetric Point),,,,,20703,0.1,2,2,341842726.213630,4,-55.707,40 (Bathymetric Point),,,,,20703,0.1,2,2,341842726.213630,4
591460.380,2871230.709,-55.712,40 (Bathymetric Point),,,,,16980,0.1,2,2,341842726.250633,4,-55.712,40 (Bathymetric Point),,,,,16980,0.1,2,2,341842726.250633,4
591460.658,2871228.208,-55.811,40 (Bathymetric Point),,,,,18723,0.1,2,2,341842726.250733,4,-55.811,40 (Bathymetric Point),,,,,18723,0.1,2,2,341842726.250733,4
591456.614,2871230.783,-55.867,40 (Bathymetric Point),,,,,20938,0.1,2,2,341842730.495973,4,-55.867,40 (Bathymetric Point),,,,,20938,0.1,2,2,341842730.495973,4
591457.328,2871233.246,-56.132,40 (Bathymetric Point),,,,,19490,0.1,2,2,341842730.496073,4,-56.132,40 (Bathymetric Point),,,,,19490,0.1,2,2,341842730.496073,4
591458.665,2871229.656,-56.146,40 (Bathymetric Point),,,,,20440,0.1,2,2,341842730.532976,4,-56.146,40 (Bathymetric Point),,,,,20440,0.1,2,2,341842730.532976,4
591459.268,2871232.141,-56.301,40 (Bathymetric Point),,,,,19097,0.1,2,2,341842730.533076,4,-56.301,40 (Bathymetric Point),,,,,19097,0.1,2,2,341842730.533076,4
591460.695,2871228.629,-56.369,40 (Bathymetric Point),,,,,19352,0.1,2,2,341842730.569979,4,-56.369,40 (Bathymetric Point),,,,,19352,0.1,2,2,341842730.569979,4
591457.447,2871234.853,-55.89,40 (Bathymetric Point),,,,,19903,0.1,2,2,341842726.213430,4,-55.89,40 (Bathymetric Point),,,,,19903,0.1,2,2,341842726.213430,4
591458.012,2871235.699,-56.144,40 (Bathymetric Point),,,,,21653,0.1,2,2,341842730.496173,4,-56.144,40 (Bathymetric Point),,,,,21653,0.1,2,2,341842730.496173,4
591458.210,2871227.360,-55.753,40 (Bathymetric Point),,,,,20637,0.1,2,2,341842726.213730,4,-55.753,40 (Bathymetric Point),,,,,20637,0.1,2,2,341842726.213730,4
591458.618,2871224.871,-56.331,40 (Bathymetric Point),,,,,21161,0.1,2,2,341842726.213830,4,-56.331,40 (Bathymetric Point),,,,,21161,0.1,2,2,341842726.213830,4
591458.626,2871222.357,-55.94,40 (Bathymetric Point),,,,,21849,0.1,2,2,341842726.213930,4,-55.94,40 (Bathymetric Point),,,,,21849,0.1,2,2,341842726.213930,4
591461.026,2871225.696,-56.073,40 (Bathymetric Point),,,,,20119,0.1,2,2,341842726.250833,4,-56.073,40 (Bathymetric Point),,,,,20119,0.1,2,2,341842726.250833,4
591461.123,2871223.205,-55.973,40 (Bathymetric Point),,,,,22924,0.1,2,2,341842726.250933,4,-55.973,40 (Bathymetric Point),,,,,22924,0.1,2,2,341842726.250933,4
591458.041,2871227.171,-56.071,40 (Bathymetric Point),,,,,20408,0.1,2,2,341842730.532876,4,-56.071,40 (Bathymetric Point),,,,,20408,0.1,2,2,341842730.532876,4
591459.598,2871223.637,-56.149,40 (Bathymetric Point),,,,,21319,0.1,2,2,341842730.569779,4,-56.149,40 (Bathymetric Point),,,,,21319,0.1,2,2,341842730.569779,4
591460.171,2871226.133,-56.148,40 (Bathymetric Point),,,,,19765,0.1,2,2,341842730.569879,4,-56.148,40 (Bathymetric Point),,,,,19765,0.1,2,2,341842730.569879,4
591461.808,2871222.601,-56.262,40 (Bathymetric Point),,,,,18573,0.1,2,2,341842730.606782,4,-56.262,40 (Bathymetric Point),,,,,18573,0.1,2,2,341842730.606782,4
591458.713,2871219.832,-55.857,40 (Bathymetric Point),,,,,19235,0.1,2,2,341842726.214030,4,-55.857,40 (Bathymetric Point),,,,,19235,0.1,2,2,341842726.214030,4
591461.241,2871220.681,-55.892,40 (Bathymetric Point),,,,,21076,0.1,2,2,341842726.251033,4,-55.892,40 (Bathymetric Point),,,,,21076,0.1,2,2,341842726.251033,4
591461.368,2871218.167,-56.009,40 (Bathymetric Point),,,,,23527,0.1,2,2,341842726.251133,4,-56.009,40 (Bathymetric Point),,,,,23527,0.1,2,2,341842726.251133,4
591461.386,2871215.642,-55.827,40 (Bathymetric Point),,,,,19608,0.1,2,2,341842726.251233,4,-55.827,40 (Bathymetric Point),,,,,19608,0.1,2,2,341842726.251233,4
591459.085,2871221.142,-56.032,40 (Bathymetric Point),,,,,17839,0.1,2,2,341842730.569679,4,-56.032,40 (Bathymetric Point),,,,,17839,0.1,2,2,341842730.569679,4
591460.399,2871215.037,-56.097,40 (Bathymetric Point),,,,,15787,0.1,2,2,341842730.606482,4,-56.097,40 (Bathymetric Point),,,,,15787,0.1,2,2,341842730.606482,4
591460.842,2871217.565,-56.251,40 (Bathymetric Point),,,,,20637,0.1,2,2,341842730.606582,4,-56.251,40 (Bathymetric Point),,,,,20637,0.1,2,2,341842730.606582,4
591461.285,2871220.094,-56.264,40 (Bathymetric Point),,,,,19392,0.1,2,2,341842730.606682,4,-56.264,40 (Bathymetric Point),,,,,19392,0.1,2,2,341842730.606682,4
591463.052,2871216.540,-56.296,40 (Bathymetric Point),,,,,17400,0.1,2,2,341842730.643585,4,-56.296,40 (Bathymetric Point),,,,,17400,0.1,2,2,341842730.643585,4
591461.474,2871213.140,-56.136,40 (Bathymetric Point),,,,,23829,0.1,2,2,341842726.251333,4,-56.136,40 (Bathymetric Point),,,,,23829,0.1,2,2,341842726.251333,4
591461.501,2871210.603,-56.09,40 (Bathymetric Point),,,,,20571,0.1,2,2,341842726.251433,4,-56.09,40 (Bathymetric Point),,,,,20571,0.1,2,2,341842726.251433,4
591461.339,2871208.088,-55.933,40 (Bathymetric Point),,,,,20336,0.1,2,2,341842726.251533,4,-55.933,40 (Bathymetric Point),,,,,20336,0.1,2,2,341842726.251533,4
591463.896,2871208.903,-55.958,40 (Bathymetric Point),,,,,20952,0.1,2,2,341842726.288536,4,-55.958,40 (Bathymetric Point),,,,,20952,0.1,2,2,341842726.288536,4
591459.996,2871212.520,-56.067,40 (Bathymetric Point),,,,,18455,0.1,2,2,341842730.606382,4,-56.067,40 (Bathymetric Point),,,,,18455,0.1,2,2,341842730.606382,4
591461.994,2871208.946,-56.099,40 (Bathymetric Point),,,,,16364,0.1,2,2,341842730.643284,4,-56.099,40 (Bathymetric Point),,,,,16364,0.1,2,2,341842730.643284,4
591462.406,2871211.463,-56.111,40 (Bathymetric Point),,,,,16148,0.1,2,2,341842730.643385,4,-56.111,40 (Bathymetric Point),,,,,16148,0.1,2,2,341842730.643385,4
591462.719,2871214.001,-56.239,40 (Bathymetric Point),,,,,16109,0.1,2,2,341842730.643485,4,-56.239,40 (Bathymetric Point),,,,,16109,0.1,2,2,341842730.643485,4
591461.156,2871205.573,-55.704,40 (Bathymetric Point),,,,,16358,0.1,2,2,341842726.251633,4,-55.704,40 (Bathymetric Point),,,,,16358,0.1,2,2,341842726.251633,4
591460.993,2871203.068,-55.647,40 (Bathymetric Point),,,,,18127,0.1,2,2,341842726.251733,4,-55.647,40 (Bathymetric Point),,,,,18127,0.1,2,2,341842726.251733,4
591463.854,2871206.400,-55.97,40 (Bathymetric Point),,,,,18140,0.1,2,2,341842726.288636,4,-55.97,40 (Bathymetric Point),,,,,18140,0.1,2,2,341842726.288636,4
591463.711,2871203.885,-55.829,40 (Bathymetric Point),,,,,18114,0.1,2,2,341842726.288736,4,-55.829,40 (Bathymetric Point),,,,,18114,0.1,2,2,341842726.288736,4
591463.578,2871201.370,-55.899,40 (Bathymetric Point),,,,,15650,0.1,2,2,341842726.288836,4,-55.899,40 (Bathymetric Point),,,,,15650,0.1,2,2,341842726.288836,4
591461.236,2871201.298,-56.19,40 (Bathymetric Point),,,,,19215,0.1,2,2,341842730.642984,4,-56.19,40 (Bathymetric Point),,,,,19215,0.1,2,2,341842730.642984,4
591461.448,2871203.858,-56.081,40 (Bathymetric Point),,,,,15008,0.1,2,2,341842730.643084,4,-56.081,40 (Bathymetric Point),,,,,15008,0.1,2,2,341842730.643084,4
591461.771,2871206.408,-56.053,40 (Bathymetric Point),,,,,18612,0.1,2,2,341842730.643184,4,-56.053,40 (Bathymetric Point),,,,,18612,0.1,2,2,341842730.643184,4
591463.879,2871202.812,-56.229,40 (Bathymetric Point),,,,,15663,0.1,2,2,341842730.680087,4,-56.229,40 (Bathymetric Point),,,,,15663,0.1,2,2,341842730.680087,4
591464.091,2871205.361,-56.249,40 (Bathymetric Point),,,,,15794,0.1,2,2,341842730.680187,4,-56.249,40 (Bathymetric Point),,,,,15794,0.1,2,2,341842730.680187,4
591457.529,2871235.983,-56.175,40 (Bathymetric Point),,,,,14542,0.1,2,2,341843446.040211,6,-56.175,40 (Bathymetric Point),,,,,14542,0.1,2,2,341843446.040211,6
591458.953,2871235.661,-55.715,40 (Bathymetric Point),,,,,10604,0.1,2,2,341843446.077314,6,-55.715,40 (Bathymetric Point),,,,,10604,0.1,2,2,341843446.077314,6
591456.516,2871234.813,-55.723,40 (Bathymetric Point),,,,,12845,0.1,2,2,341843446.077414,6,-55.723,40 (Bathymetric Point),,,,,12845,0.1,2,2,341843446.077414,6
591458.051,2871234.436,-55.798,40 (Bathymetric Point),,,,,14706,0.1,2,2,341843446.114517,6,-55.798,40 (Bathymetric Point),,,,,14706,0.1,2,2,341843446.114517,6
