X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591456.300,2871236.080,-55.39,40 (Bathymetric Point),,,,,526,-13.9,3,3,335156208.5681908,42,-55.39,40 (Bathymetric Point),,,,,526,-13.9,3,3,335156208.5681908,42
591457.690,2871235.930,-55.41,40 (Bathymetric Point),,,,,515,-13.7,2,2,335156211.5251662,42,-55.41,40 (Bathymetric Point),,,,,515,-13.7,2,2,335156211.5251662,42
591455.800,2871235.990,-55.31,40 (Bathymetric Point),,,,,805,-11.4,2,2,335156649.3497071,41,-55.31,40 (Bathymetric Point),,,,,805,-11.4,2,2,335156649.3497071,41
591456.090,2871236.540,-55.35,40 (Bathymetric Point),,,,,486,-11.4,2,2,335156649.3387434,41,-55.35,40 (Bathymetric Point),,,,,486,-11.4,2,2,335156649.3387434,41
591456.640,2871232.070,-55.24,40 (Bathymetric Point),,,,,726,-13.9,1,1,335156208.5023680,42,-55.24,40 (Bathymetric Point),,,,,726,-13.9,1,1,335156208.5023680,42
591457.040,2871233.670,-55.3,40 (Bathymetric Point),,,,,835,-13.8,2,2,335156208.5243165,42,-55.3,40 (Bathymetric Point),,,,,835,-13.8,2,2,335156208.5243165,42
591456.510,2871233.360,-55.28,40 (Bathymetric Point),,,,,479,-13.9,2,2,335156208.5243031,42,-55.28,40 (Bathymetric Point),,,,,479,-13.9,2,2,335156208.5243031,42
591456.940,2871234.320,-55.33,40 (Bathymetric Point),,,,,515,-13.8,3,3,335156208.5352877,42,-55.33,40 (Bathymetric Point),,,,,515,-13.8,3,3,335156208.5352877,42
591456.320,2871235.360,-55.35,40 (Bathymetric Point),,,,,501,-13.9,2,2,335156208.5572183,42,-55.35,40 (Bathymetric Point),,,,,501,-13.9,2,2,335156208.5572183,42
591457.510,2871232.050,-55.22,40 (Bathymetric Point),,,,,454,-13.7,2,2,335156211.4593250,42,-55.22,40 (Bathymetric Point),,,,,454,-13.7,2,2,335156211.4593250,42
591456.220,2871234.150,-55.47,40 (Bathymetric Point),,,,,443,-13.8,2,2,335156211.4813070,42,-55.47,40 (Bathymetric Point),,,,,443,-13.8,2,2,335156211.4813070,42
591458.240,2871234.270,-55.44,40 (Bathymetric Point),,,,,442,-13.6,2,2,335156211.5032048,42,-55.44,40 (Bathymetric Point),,,,,442,-13.6,2,2,335156211.5032048,42
591457.150,2871234.940,-55.47,40 (Bathymetric Point),,,,,734,-13.7,2,2,335156211.5032324,42,-55.47,40 (Bathymetric Point),,,,,734,-13.7,2,2,335156211.5032324,42
591456.880,2871232.440,-55.19,40 (Bathymetric Point),,,,,447,-13.8,2,2,335156211.4593412,42,-55.19,40 (Bathymetric Point),,,,,447,-13.8,2,2,335156211.4593412,42
591458.000,2871232.400,-55.3,40 (Bathymetric Point),,,,,466,-13.7,2,2,335156211.4702870,42,-55.3,40 (Bathymetric Point),,,,,466,-13.7,2,2,335156211.4702870,42
591457.970,2871233.080,-55.38,40 (Bathymetric Point),,,,,570,-13.7,2,2,335156211.4812623,42,-55.38,40 (Bathymetric Point),,,,,570,-13.7,2,2,335156211.4812623,42
591457.850,2871233.840,-55.39,40 (Bathymetric Point),,,,,518,-13.7,3,3,335156211.4922402,42,-55.39,40 (Bathymetric Point),,,,,518,-13.7,3,3,335156211.4922402,42
591457.310,2871234.180,-55.38,40 (Bathymetric Point),,,,,555,-13.7,1,1,335156211.4922540,42,-55.38,40 (Bathymetric Point),,,,,555,-13.7,1,1,335156211.4922540,42
591457.960,2871235.130,-55.34,40 (Bathymetric Point),,,,,841,-13.7,2,2,335156211.5141861,42,-55.34,40 (Bathymetric Point),,,,,841,-13.7,2,2,335156211.5141861,42
591458.220,2871235.620,-55.33,40 (Bathymetric Point),,,,,470,-13.6,2,2,335156211.5251531,42,-55.33,40 (Bathymetric Point),,,,,470,-13.6,2,2,335156211.5251531,42
