X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591462.000,2871195.000,-56.084,0 (Created; never classified),,,,,,,1,1,,0,-56.084,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871195.000,-56.092,0 (Created; never classified),,,,,,,1,1,,0,-56.092,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871195.000,-56.1,0 (Created; never classified),,,,,,,1,1,,0,-56.1,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871195.000,-56.109,0 (Created; never classified),,,,,,,1,1,,0,-56.109,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871195.000,-56.105,0 (Created; never classified),,,,,,,1,1,,0,-56.105,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871195.000,-56.106,0 (Created; never classified),,,,,,,1,1,,0,-56.106,0 (Created; never classified),,,,,,,1,1,,0
591465.000,2871195.000,-56.133,0 (Created; never classified),,,,,,,1,1,,0,-56.133,0 (Created; never classified),,,,,,,1,1,,0
591465.500,2871195.000,-56.161,0 (Created; never classified),,,,,,,1,1,,0,-56.161,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871195.500,-56.087,0 (Created; never classified),,,,,,,1,1,,0,-56.087,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871195.500,-56.095,0 (Created; never classified),,,,,,,1,1,,0,-56.095,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871195.500,-56.096,0 (Created; never classified),,,,,,,1,1,,0,-56.096,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871195.500,-56.099,0 (Created; never classified),,,,,,,1,1,,0,-56.099,0 (Created; never classified),,,,,,,1,1,,0
